	time	resistance	FanCount	dTemp
114	27396.0	507.0	12.0	-1.355335743189869
115	27627.0	510.0	12.0	-1.1185367139629534
116	27858.0	508.0	12.0	-1.2764426446917128
117	28090.0	506.0	13.0	-1.4341897743830714
118	28321.0	512.0	12.0	-0.9604669062625248
119	28553.0	510.0	12.0	-1.1185367139629534
120	28784.0	508.0	13.0	-1.2764426446917128
121	29016.0	508.0	13.0	-1.2764426446917128
122	29247.0	509.0	12.0	-1.1975098462372102
123	29479.0	510.0	13.0	-1.1185367139629534
124	29711.0	508.0	13.0	-1.2764426446917128
125	29943.0	509.0	12.0	-1.1975098462372102
126	30175.0	508.0	12.0	-1.2764426446917128
127	30406.0	507.0	13.0	-1.355335743189869
128	30638.0	507.0	13.0	-1.355335743189869
129	30869.0	508.0	12.0	-1.2764426446917128
130	31101.0	508.0	13.0	-1.2764426446917128
131	31332.0	507.0	13.0	-1.355335743189869
132	31564.0	507.0	12.0	-1.355335743189869
133	31795.0	508.0	12.0	-1.2764426446917128
134	32026.0	504.0	13.0	-1.5917831595801886
135	32258.0	504.0	13.0	-1.5917831595801886
136	32489.0	510.0	12.0	-1.1185367139629534
137	32721.0	506.0	13.0	-1.4341897743830714
138	32952.0	508.0	13.0	-1.2764426446917128
139	33184.0	510.0	13.0	-1.1185367139629534
140	33416.0	503.0	12.0	-1.6705237730957379
141	33646.0	503.0	12.0	-1.6705237730957379
142	33878.0	505.0	12.0	-1.5130053697408243
143	34109.0	506.0	12.0	-1.4341897743830714
144	34341.0	506.0	12.0	-1.4341897743830714
145	34573.0	502.0	11.0	-1.7492278383890039
146	34804.0	503.0	12.0	-1.6705237730957379
147	35036.0	510.0	11.0	-1.1185367139629534
148	35267.0	508.0	12.0	-1.2764426446917128
149	35499.0	507.0	12.0	-1.355335743189869
150	35730.0	506.0	12.0	-1.4341897743830714
151	35961.0	507.0	11.0	-1.355335743189869
152	36192.0	509.0	11.0	-1.1975098462372102
153	36422.0	506.0	11.0	-1.4341897743830714
154	36654.0	509.0	12.0	-1.1975098462372102
155	36885.0	504.0	11.0	-1.5917831595801886
156	37117.0	508.0	10.0	-1.2764426446917128
157	37349.0	506.0	11.0	-1.4341897743830714
158	37580.0	507.0	9.0	-1.355335743189869
159	37811.0	504.0	11.0	-1.5917831595801886
160	38042.0	506.0	10.0	-1.4341897743830714
161	38274.0	507.0	10.0	-1.355335743189869
162	38504.0	508.0	9.0	-1.2764426446917128
163	38735.0	502.0	10.0	-1.7492278383890039
164	38977.0	507.0	9.0	-1.355335743189869
165	39209.0	508.0	9.0	-1.2764426446917128
166	39440.0	507.0	9.0	-1.355335743189869
167	39672.0	506.0	9.0	-1.4341897743830714
