	time	resistance	FanCount	dTemp
114	48070.0	581.0	7.0	1.2459768397859534
115	48638.0	583.0	8.0	1.4016828685801102
116	49052.0	583.0	9.0	1.4016828685801102
117	49337.0	582.0	9.0	1.32378849706771
118	49786.0	583.0	9.0	1.4016828685801102
119	50140.0	579.0	11.0	1.0905986776968462
120	50835.0	578.0	10.0	1.0130306865929128
121	51320.0	574.0	12.0	0.7035488091026991
122	51654.0	575.0	11.0	0.7808022277990858
123	52171.0	572.0	12.0	0.5492717206964244
124	52523.0	570.0	12.0	0.39529617138788353
125	52937.0	572.0	12.0	0.5492717206964244
126	53204.0	571.0	12.0	0.4722466115351267
127	53651.0	571.0	12.0	0.4722466115351267
128	53954.0	569.0	13.0	0.31841968839813717
129	54335.0	567.0	13.0	0.16488576179392567
130	54704.0	565.0	13.0	0.01163919762467458
131	55136.0	564.0	13.0	-0.06487807124375422
132	55606.0	564.0	13.0	-0.06487807124375422
133	55999.0	561.0	13.0	-0.29401414472613396
134	56269.0	561.0	13.0	-0.29401414472613396
135	56536.0	560.0	13.0	-0.3702565528037667
136	56803.0	557.0	13.0	-0.5985844885479992
137	57152.0	558.0	13.0	-0.5225410458313604
138	57522.0	558.0	13.0	-0.5225410458313604
139	57839.0	558.0	13.0	-0.5225410458313604
140	58253.0	555.0	13.0	-0.7504771411636284
141	58776.0	554.0	14.0	-0.8263276932706276
142	59071.0	554.0	12.0	-0.8263276932706276
143	59335.0	553.0	13.0	-0.9021152865209388
144	59578.0	553.0	13.0	-0.9021152865209388
145	59814.0	554.0	12.0	-0.8263276932706276
146	60052.0	555.0	12.0	-0.7504771411636284
147	60323.0	552.0	13.0	-0.9778405857800863
148	60554.0	551.0	12.0	-1.0535042534824584
149	60785.0	552.0	12.0	-0.9778405857800863
150	61030.0	551.0	12.0	-1.0535042534824584
151	61266.0	551.0	11.0	-1.0535042534824584
152	61499.0	550.0	11.0	-1.1291069496660953
153	61739.0	549.0	11.0	-1.2046493320081595
154	61986.0	550.0	10.0	-1.1291069496660953
155	62218.0	548.0	11.0	-1.2801320558590419
156	62470.0	548.0	10.0	-1.2801320558590419
157	62701.0	548.0	10.0	-1.2801320558590419
158	62932.0	548.0	9.0	-1.2801320558590419
159	63191.0	548.0	8.0	-1.2801320558590419
160	63422.0	549.0	8.0	-1.2046493320081595
161	63670.0	549.0	8.0	-1.2046493320081595
162	63935.0	548.0	8.0	-1.2801320558590419
163	64167.0	550.0	7.0	-1.1291069496660953
164	64398.0	546.0	7.0	-1.430921138063411
165	64630.0	549.0	2.0	-1.2046493320081595
166	64862.0	550.0	0.0	-1.1291069496660953
167	65092.0	549.0	0.0	-1.2046493320081595
168	65323.0	551.0	0.0	-1.0535042534824584
169	65561.0	549.0	0.0	-1.2046493320081595
170	65792.0	549.0	0.0	-1.2046493320081595
171	66027.0	549.0	0.0	-1.2046493320081595
172	66259.0	549.0	0.0	-1.2046493320081595
173	66491.0	549.0	0.0	-1.2046493320081595
174	66800.0	549.0	0.0	-1.2046493320081595
175	67056.0	550.0	0.0	-1.1291069496660953
176	67310.0	550.0	0.0	-1.1291069496660953
177	67574.0	551.0	0.0	-1.0535042534824584
178	67809.0	550.0	0.0	-1.1291069496660953
179	68050.0	551.0	0.0	-1.0535042534824584
180	68298.0	551.0	0.0	-1.0535042534824584
181	68554.0	551.0	0.0	-1.0535042534824584
182	68793.0	552.0	0.0	-0.9778405857800863
183	69025.0	552.0	0.0	-0.9778405857800863
184	69257.0	552.0	0.0	-0.9778405857800863
185	69487.0	553.0	0.0	-0.9021152865209388
186	69718.0	553.0	0.0	-0.9021152865209388
187	69949.0	554.0	0.0	-0.8263276932706276
188	70180.0	554.0	0.0	-0.8263276932706276
189	70412.0	555.0	0.0	-0.7504771411636284
190	70642.0	555.0	0.0	-0.7504771411636284
191	70873.0	555.0	0.0	-0.7504771411636284
192	71103.0	556.0	0.0	-0.6745629628676966
