	time	vol	rpm
0	3023.0	514.0	1440.0
1	4028.0	516.0	1410.0
2	5032.0	516.0	1380.0
3	6036.0	517.0	1350.0
4	7041.0	509.0	1380.0
5	8045.0	521.0	1350.0
6	9049.0	520.0	1380.0
7	10053.0	517.0	1350.0
8	11058.0	519.0	1350.0
9	12061.0	517.0	1380.0
10	13066.0	517.0	1350.0
11	14070.0	520.0	1350.0
12	15074.0	520.0	1380.0
13	16078.0	520.0	1350.0
14	17083.0	523.0	1380.0
15	18087.0	523.0	1350.0
16	19091.0	520.0	1380.0
17	20096.0	521.0	1350.0
18	21100.0	520.0	1380.0
19	22104.0	522.0	1350.0
20	23108.0	523.0	1350.0
21	24113.0	520.0	1380.0
22	25116.0	523.0	1350.0
23	26121.0	522.0	1380.0
24	27125.0	524.0	1350.0
25	28130.0	522.0	1350.0
26	29133.0	522.0	1380.0
27	30138.0	524.0	1350.0
28	31142.0	525.0	1350.0
29	32147.0	523.0	1350.0
30	33150.0	523.0	1380.0
31	34155.0	539.0	1350.0
32	35160.0	526.0	1350.0
33	36163.0	522.0	1380.0
34	37168.0	524.0	1350.0
35	38172.0	524.0	1350.0
36	39177.0	526.0	1350.0
37	40180.0	526.0	1380.0
38	41185.0	524.0	1350.0
39	42189.0	525.0	1350.0
40	43193.0	523.0	1380.0
41	44197.0	535.0	1350.0
42	45202.0	514.0	1380.0
43	46205.0	525.0	1350.0
44	47210.0	526.0	1350.0
45	48215.0	523.0	1380.0
46	49219.0	525.0	1350.0
47	50223.0	523.0	1380.0
48	51227.0	523.0	1350.0
49	52232.0	525.0	1350.0
50	53235.0	526.0	1380.0
51	54240.0	527.0	1350.0
52	55244.0	526.0	1350.0
53	56248.0	528.0	1350.0
54	57252.0	524.0	1380.0
55	58257.0	524.0	1350.0
56	59261.0	524.0	1350.0
57	60265.0	526.0	1380.0
58	61270.0	523.0	1350.0
59	62274.0	522.0	1350.0
60	63278.0	523.0	1380.0
61	64282.0	525.0	1350.0
62	65287.0	526.0	1350.0
63	66290.0	528.0	1380.0
64	67295.0	523.0	1350.0
65	68299.0	524.0	1350.0
66	69304.0	526.0	1380.0
67	70307.0	523.0	1350.0
68	71312.0	526.0	1350.0
69	72316.0	524.0	1380.0
70	73320.0	524.0	1350.0
71	74324.0	535.0	1350.0
72	75329.0	523.0	1380.0
73	76334.0	535.0	1350.0
74	77337.0	523.0	1380.0
75	78342.0	510.0	1350.0
76	79346.0	526.0	1350.0
77	80350.0	527.0	1380.0
78	81354.0	525.0	1350.0
79	82359.0	523.0	1380.0
80	83362.0	526.0	1350.0
81	84367.0	524.0	1350.0
82	85371.0	526.0	1350.0
83	86376.0	524.0	1380.0
84	87379.0	527.0	1350.0
85	88384.0	524.0	1350.0
86	89389.0	526.0	1350.0
87	90392.0	523.0	1380.0
88	91397.0	522.0	1350.0
89	92401.0	524.0	1380.0
90	93406.0	524.0	1350.0
91	94409.0	524.0	1380.0
92	95414.0	525.0	1350.0
93	96418.0	526.0	1380.0
94	97422.0	525.0	1350.0
95	98426.0	527.0	1380.0
96	99431.0	523.0	1380.0
97	100434.0	524.0	1350.0
98	101439.0	524.0	1380.0
99	102444.0	529.0	1350.0
100	103447.0	523.0	1380.0
101	104452.0	530.0	1380.0
102	105456.0	526.0	1350.0
103	106461.0	524.0	1380.0
104	107464.0	527.0	1350.0
105	108469.0	526.0	1380.0
106	109473.0	526.0	1350.0
107	110478.0	528.0	1380.0
108	111481.0	524.0	1380.0
109	112486.0	524.0	1350.0
110	113490.0	511.0	1380.0
111	114494.0	521.0	1380.0
